name;Цена;Порционность;;;Белки;Жиры;Углеводы;Витамин C;Витамин B1;Витамин E;Витамин B3 (PP);Железо;Витамин А;Натрий;Магний;Витамин B2;Калорийность;Калий;Кальций;Фосфор;Холестерин;Клетчатка
Камбала;10;0;2;4;15,7;3;0;1;0,14;1;5;0,7;15;70;35;0,15;90;320;45;180;58;0
Карась;6;0;2;4;17,7;1,8;0;1;0,06;0,4;5,4;0,8;20;50;25;0,17;87;280;70;220;50;0
Карп;17;0;2;4;16;5,3;0;1,5;0,14;0,5;5,5;0,8;20;55;25;0,13;112;265;35;210;55;0
Креветка;12;0;1;3;20,5;1,6;0,3;0;0,03;0,6;5,1;1,8;10;540;50;0,04;98;220;70;225;210;0
Лосось атлантический;25;0;2;4;20;8,1;0;1;0,23;1,8;9,4;0,8;40;45;25;0,25;153;420;15;210;70;0
Мидии;15;0;1;3;11,5;2;3,3;1;0,1;0,9;3,7;3,2;60;290;30;0,14;77;310;50;210;40;0
Минтай;8;0;2;4;15,9;0,9;0;0,5;0,11;0,3;4,6;0,8;10;40;55;0,11;72;420;40;240;50;0
Окунь морской;18;0;2;4;18,2;3,3;0;1,4;0,11;0,8;4,8;0,9;40;75;60;0,12;103;300;120;220;60;0
Окунь речной;17;0;2;4;18,5;0,9;0;1,5;0,06;0,4;5;0,7;10;80;30;0,17;82;280;50;210;40;0
Осётр;35;0;2;4;16,4;10,9;0;1,1;0,05;2,1;5,6;0,7;60;100;75;0,13;164;280;50;270;80;0
Палтус;40;0;2;4;18,9;3;0;0,2;0,05;0,6;5,6;0,7;100;55;60;0,11;103;450;30;220;80;0
Путассу;8;0;2;4;18,5;0,9;0;1,4;0,04;0,4;5,6;0,7;40;65;40;0,1;82;335;40;210;60;0
Салака;49;0;2;4;17;6,3;0;0,4;0,12;0,7;4,8;1;30;70;20;0,15;125;210;20;220;80;0
Сельдь жирная;6;0;2;4;17,7;19,5;0;0,7;0,08;1,2;7,8;1;30;100;30;0,3;248;310;60;280;90;0
Скумбрия;7,5;0;2;4;18;13,2;0;1,2;0,12;1,6;11,6;1,7;10;100;50;0,36;191;280;40;280;70;0
Сом;15;0;2;4;17,2;5,1;0;1,2;0,19;1;5,3;1;10;50;20;0,12;115;240;50;210;70;0
